idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
1606,80.30000000000001,-14.923037884828133,7.000000000000014,-6.000000000000012,0.14453011829399287,0.0,0.0,0.13240288445999226,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1607,80.35000000000001,-14.91564584149333,7.000000000000014,-6.000000000000012,0.15113542684925818,0.0,0.0,0.13176375060126588,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1608,80.4,-14.907924342143207,7.000000000000014,-6.000000000000012,0.15770649335411946,0.0,0.0,0.13105179954031598,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1609,80.45,-14.899875192157918,7.000000000000014,-6.000000000000012,0.16424060680328978,0.0,0.0,0.13030846671533425,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1610,80.5,-14.891500281462879,7.000000000000014,-6.000000000000012,0.17073734002565288,0.0,0.0,0.12957930577872645,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1611,80.55000000000001,-14.882801458155352,7.000000000000014,-6.000000000000012,0.17719853738116242,0.0,0.0,0.12889147967243275,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1612,80.60000000000001,-14.873780427724762,7.000000000000014,-6.000000000000012,0.18362648799289616,0.0,0.0,0.12824084194633656,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1613,80.65,-14.864438809356063,7.000000000000014,-6.000000000000012,0.19002262157579608,0.0,0.0,0.12761397308409528,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1614,80.7,-14.854778165567183,7.000000000000014,-6.000000000000012,0.1963878853013057,0.0,0.0,0.1270020858969545,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1615,80.75,-14.844800020825932,7.000000000000014,-6.000000000000012,0.20272283016549153,0.0,0.0,0.12639846879984873,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1616,80.80000000000001,-14.834505882550634,7.000000000000014,-6.000000000000012,0.20902773218129056,0.0,0.0,0.1257979101362494,0.0,0.0,0.0,70.0,255.0,255.0,255.0
1617,80.85000000000001,-14.823897247607803,7.000000000000014,-6.000000000000012,0.21530262117911647,0.0,0.0,0.1251928816138559,0.0,0.0,0.0,70.0,255.0,255.0,255.0
